Date,Temperature
2019-12-07 08,21.35826332
2019-12-08 08,20.50794627
2019-12-09 08,22.24931175
2019-12-10 08,23.23549345
2019-12-11 08,24.69402375
2019-12-12 08,23.62082545
2019-12-13 08,24.27195869
2019-12-14 08,24.05849071
2019-12-15 08,25.37050421
2019-12-16 08,25.83649798
2019-12-20 06,25.9096066
2019-12-21 06,24.82816448
2019-12-22 06,25.27687269
2019-12-23 06,26.08633997
2019-12-24 06,26.08985886
2019-12-25 06,25.31066364
2019-12-26 06,26.50146941
2019-12-27 06,26.54476104
2019-12-28 06,23.41482915
2019-12-29 06,24.58327681
2019-12-30 06,24.11224953
2019-12-31 06,25.23162963
2020-01-01 06,24.56205366
2020-01-02 06,23.77829009
2020-01-03 06,24.00986736
2020-01-04 06,24.07460058
2020-01-05 18,25.35028976
2020-01-06 18,25.2149799
2020-01-07 18,25.35239102
2020-01-08 18,25.14638967
2020-01-09 18,23.90493567
2020-01-10 18,24.59136926
2020-01-11 18,24.68452149
2020-01-12 18,23.97837515
2020-01-13 18,23.22604246
2020-01-14 18,24.34517443
2020-01-15 18,23.78075825
2020-01-16 18,24.29219072
2020-01-18 03,23.11716649
2020-01-19 03,21.55160965
2020-01-20 03,22.54589232
2020-01-21 03,22.55964777
2020-01-22 03,23.18338378
2020-01-23 03,24.68730548
2020-01-24 03,26.80172645
2020-01-25 03,26.62470541
2020-01-26 03,25.92996994
2020-01-27 03,24.06363905
2020-01-27 17,25.6443941
